autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
Turow Scott,Presunto innocente,Letteratura,Mondadori,1994,L,,,,si
Ulivieri Cesare,Un portuale poeta,Letteratura,Bandecchi,2002,L,,,,si
Valsangiacomo Camillo,Serenata sulla Limmat,Letteratura,elvetica,1972,L,,,,si
Weber Ken,Il detective sei tu,Letteratura,Morellini,2011,L,,,,si
Woolrich Cornell,Dinastia di morti,Letteratura,Mondadori,1999,L,,,,si
Zucconi Vittorio,Gli spiriti non dimenticano,Letteratura,Mondadori,1996,L,,,,si
AA. VV.,Racconti della scapigliatura milanese,Letteratura,Club del libro,1959,Lett,,,,si
Akseenov Vasilij,Il biglietto stellato,Letteratura,Editori Riuniti,1961,Lett,,,,si
Alfieri Vittorio,La vita,Letteratura,SEI,1935,Lett,,,,si
Alighieri Dante,Purgatorio,Letteratura,Vallecchi,1968,Lett,,,,si
Anonimo,Berlinguer e il professore (2 copie),Letteratura,Rizzoli,1975,Lett,,,,si
Anonimo,Porci con le ali,Letteratura,Savelli,1976,Lett,,,,si
Antonicelli Franco,Scritti letterari 1934-1974,Letteratura,Giardini,1985,Lett,,,,si
Apollinaire Guillaume,Opera poetica,Letteratura,Guanda,1963,Lett,,,,si
Ariosto Ludovico,Orlando furioso,Letteratura,SEI,1937,Lett,,,,si
Babel Isaak,Racconti di Odessa. Il tramonto,Letteratura,Editori Riuniti,1958,Lett,,,,si
Balzac Onorato,I capolavori della commedia umana 1,Letteratura,Casini,1972,Lett,,,,si
Baricco Alessandro,Seta,Letteratura,Rizzoli,1996,Lett,,,,si
Baudelaire Charles,I fiori del male,Letteratura,Feltrinelli,1969,Lett,,,,si
Baudelaire Charles,Diari intimi,Letteratura,Dall'Oglio,1969,Lett,,,,si
Bek Alexandr ,La strada di Volokolamsk,Letteratura,Culura sociale ,1951,Lett,,,,si
Bernanos Georges,Diario di un curato di campagna,Letteratura,Mondadori,1965,Lett,,,,si
Bertolucci Attilio,36 Poesie,Letteratura,Garzanti,1997,Lett,,,,si
Bizet Merimee,Carmen,Letteratura,Passigli,1994,Lett,,,,si
Blasco Ibanez Vicente,La baracca,Letteratura,Feltrinelli,1955,Lett,,,,si
Boccaccio Giovanni,Decameron 1-2,Letteratura,Club del libro,1958,Lett,,,,si
Borges Jorge Luis,Finzioni,Letteratura,Einaudi,1995,Lett,,,,si
Bradbury Ray,Farenheit 451,Letteratura,Monjdadori,1978,Lett,,,,si
Brecht Bertolt,I capolavori  I-II,Letteratura,Einaudi,1963,Lett,,,,si
Bulgakov Michail,Il Maestro e Margherita,Letteratura,Repubblica,2002,Lett,,,,si
Camus Albert,La peste,Letteratura,Bompiani,1974,Lett,,,,si
Cassola Carlo,Il taglio del bosco,Letteratura,Einaudi,1965,Lett,,,,si
Chaucer Geoffrey,Novelle di Canterbury,Letteratura,Pironti,?,Lett,,,,si
Ciu Li-Po,L'uragano,Letteratura,Editori Riuniti,1957,Lett,,,,si
Constant Benjamin,Adolfo (2 copie),Letteratura,Rizzoli/Sansoni,1953,Lett,,,,si
