autore,titolo,soggetto,editore,anno,collocazione,Lingua,ISBN,Classificazione,disponibile
Bianchi Enzo,Il pane di ieri,Psicologia,Einaudi,2008,D2,,,,si
Bianchi Enzo,Ogni cosa alla sua stagione,Psicologia,Einaudi,2010,D2,,,,si
Borgna Eugenio,Le emozioni ferite,Psicologia,Feltrinelli,2009,D2,,,,si
Borgna Eugenio,La solitudine dell'anima,Psicologia,Feltrinelli,2011,D2,,,,si
Buttarini-Vantaggiato,Donne criminali,Psicologia,Experta,2008,D2,,,,si
Del Bo Boffino Anna,Figli di mamma,Psicologia,Rizzoli,1981,F3,,,,si
Fordham Michael,Il bambino come individuo,Psicologia,Sansoni,1979,D2,,,,si
Freud Sigmund,Totem e tabù,Psicologia,Newton Compton,1984,D2,,,,si
Freud Sigmund,Tre saggi sulla sessualità,Psicologia,Newton Compton,1988,D2,,,,si
Freud Sigmund,Sogno ipnosi e suggestione,Psicologia,Newton Compton,1973,D2,,,,si
Freud Sigmund,Il sogno e la sua intepretazione,Psicologia,Newton Compton,1993,D2,,,,si
Freud Sigmund,L'interpretazione dei sogni,Psicologia,Boringhieri,1973,D2,,,,si
Fromm Erich,L'arte d'amare,Psicologia,Il Saggiatore,1963,D2,,,,si
Fromm Erich,Avere o essere?,Psicologia,Mondadori,1996,D2,,,,si
Galimberti Umberto,La terra senza il male,Psicologia,Feltrinelli,1988,D2,,,,si
Gianini Belotti Elena,Non di sola madre,Psicologia,Rizzoli,1983,F3,,,,si
Gockel Renate,Donne che mangiano troppo,Psicologia,Feltrinelli,1997,F3,,,,si
Irigaray Luce,Amo a te,Psicologia,Boringhieri,1993,F2,,,,si
Kite-Colleran,"Uomini da amare, uomini da evitare",Psicologia,Sperling & Kupfer,1991,F4,,,,si
Makarenko A.S.,Poema pedagogico,Psicologia,Editori Riuniti,1952,D2,,,,si
Makarenko A.S.,Il mestiere di genitore I-II,Psicologia,Editori Riuniti,1961,D2,,,,si
Mancuso Vito,La vita autentica,Psicologia,Cortina,2009,D2,,,,si
Mancuso Vito,Io e Dio,Psicologia,Garzanti,2011,D2,,,,si
Miller Alice,Il dramma del bambino dotato,Psicologia,Boringhieri,1990,F3,,,,si
Moltmann Juergen,In dialogo con Ernst Bloch,Psicologia,Queriniana,1979,D2,,,,si
Phillips Asha,I no che aiutano a crescere,Psicologia,Feltrinelli,2015,F3,,,,si
Pinker Steven,Fatti di parole,Psicologia,Mondadori,2009,D2,,,,si
Pinkola Estés Clarissa ,Donne che corrono coi lupi,Psicologia,Frassinelli,1993,F2,,,,si
Recalcati Massimo,Incontrare l'assenza,Psicologia,ASMEPA,2016,D2,,,,si
Russo Fabrizio,Lineamenti di psicologia criminale e investigativa,Psicologia,Celid,2010,D2,,,,si
Santucci Luigi,Volete andarvene anche voi?,Psicologia,Mondadori,1969,D2,,,,si
Thomae Hans,Conflitto decisione responsabilità,Psicologia,Città nuova,1978,D2,,,,si
Trickett-Albisetti,L'ansia e la depressione,Psicologia,Paoline ,1991,D2,,,,si
Watzlawick Paul,Istruzioni per rendersi infelici,Psicologia,Feltrinelli,1997,D2,,,,si
AA. VV.,"Contenuti aperti, beni comuni",Scienze,McGraw Hill,2009,F2,,,,si
AA. VV.,Finalmente libero!,Scienze,McGraw Hill,2008,F2,,,,si
Bordese Claudia,Sesso selvaggio,Scienze,Instar libri,2010,F4,,,,si
AA. VV.,Memoria viva,Storia,Aampi,1998,A1,,,,si
AA. VV.,Storie segrete dell'ultima guerra,Storia,Selezione,1960,A2,,,,si
AA. VV.,Vita e morte del soldato italiano XIII e XVI,Storia,Ferni edizioni,1974,A2,,,,si
AA. VV.,Carteggio 1941-1945,Storia,Editori Riuniti,1965,A2,,,,si
AA. VV.,La civiltà contemporanea,Storia,Laterza,1966,A3,,,,si
AA. VV.,La lunga via per Roma,Storia,SO.GRA.BO,1970,A4,,,,si
AA. VV.,L'uomo del Rinascimento,Storia,Laterza,1988,A6,,,,si
AA. VV.,Giorni della nostra storia ,Storia,Mandragora,1997,B1,,,,si
AA. VV.,Donne e resistenza in Toscana,Storia,Opuscolo,-,B1,,,,si
AA. VV.,L'URSS nella II guerra mondiale,Storia,CEI,1978,B1,,,,si
AA. VV.,Dieci anni 1976-1985,Storia,Repubblica,1985,A3,,,,si
AA. VV.,Storia e memoria 2,Storia,rivista,2005,A2,,,,si
Giarelli La Bolina,Il secolo XIX. La storia. La marina e gli eserciti,Storia,Vallardi,?,B3,,,,si
Angeli Roberto,Vangelo nei lager (2 copie),Storia,La nuova Italia,1975,B1,,,,si
Battaglia Roberto,Storie della resistenza italiana,Storia,Einaudi,1964,A1,,,,si
Battaglia Roberto ,La seconda guerra mondiale,Storia,Editori riuniti,1971,A2,,,,si
Battaglia-Garritano,La resistenza italiana,Storia,Editori Riuniti,1974,A1,,,,si
Battaglia-Garritano,Breve storia della resistenza italiana,Storia,Editori Riuniti,1973,A1,,,,si
Bloch Marc,La società feudale,Storia,Einaudi,1999,B5,,,,si
Bloch Raymond,Gli Etruschi,Storia,Il Saggiatore,1959,B6,,,,si
Budriesi Aldo,Dall'Illuminismo a oggi. Quaderno di lavoro,Storia,Loescher,1996,B3,,,,si
Burckhardt Jakob,La civiltà del Rinascimento in Italia,Storia,Sansoni,1980,A6,,,,si
Busi Giulio,Lorenzo de'Medici,Storia,Mondadori,2016,A6,,,,si
Cammarano Fulvio,Storia dell'Italia liberale,Storia,Laterza,2011,B4,,,,si
Canfora Luciano,Storia della letteratura greca,Storia,Laterza,2001,B6,,,,si
Cantaluppi-Puppini,Non avendo mai preso un fucile tra le mani,Storia,ANPPIA,2023,B1,,,,si
Capello Luigi,Caporetto perché?,Storia,Einaudi,?,A3,,,,si
Caprarica Antonio,C'era una volta in Italia,Storia,Sperling & Kupfer,2010,B4,,,,si
Carcopino Jerome,La vita quotidiana a Roma,Storia,Laterza,1982,B6,,,,si
Cardini-Valzania,Dunkerque,Storia,Mondadori,2017,A3,,,,si
Cardini-Valzania,La scintilla,Storia,Mondadori,2014,A3,,,,si
Cervi Mario,Caporetto,Storia,Mondadori,1974,A3,,,,si
Cervi-Nicolai,Imiei 7 figli,Storia,Editori Riuniti,1974,A1,,,,si
Chabod Federico,Italia contemporanea (1918-1948),Storia,Einaudi,1961,A3,,,,si
Chabod Federico,Storia dell'idea d'Europa (2 copie),Storia,Laterza,1970,A3,,,,si
Chabod Federico,Storia della politica estera italiana I-II,Storia,Laterza,1965,B3,,,,si
Codino Fausto,Miti greci e romani,Storia,Laterza,1971,B6,,,,si
Constant Benjamin,Conquista e usurpazione,Storia,Einaudi,1944,A4,,,,si
Croce Benedetto,Storia d'italia dal 1871 al 1915,Storia,Laterza,1967,B3,,,,si
De Crescenzo Luciano,I grandi miti greci,Storia,Mondadori,2011,B6,,,,si
De Felice Renzo,Mussolini il fascista I-II,Storia,Einaudi,1966,B2,,,,si
De Felice Renzo,Mussolini il rivoluzionario ,Storia,Einaudi,1965,B2,,,,si
De Felice Renzo,Il fascismo,Storia,Laterza,1998,B2,,,,si
De Jaco Aldo,Gli anarchici,Storia,Editori Riuniti,1971,B4,,,,si
Della Peruta Franco,Democrazia e socialismo nel risorgimento,Storia,Editori Riuniti,1965,A4,,,,si
Demurger Alain,Crociate e crociate nel medioevo,Storia,Garzanti,2010,B5,,,,si
Donolo Luigi,La resistenza dimenticata,Storia,Debatte,2009,A1,,,,si
Duby Georges,L'arte e la società medievale,Storia,Laterza,1977,A6,,,,si
Duby Georges,Donne nello specchio del Medioevo,Storia,Laterza,1997,A6,,,,si
Duby Georges,L'Europa nel medioevo,Storia,Garzanti,1987,B5,,,,si
Duby Georges,L'anno mille,Storia,Einaudi,1976,B5,,,,si
Duby Georges,Lo specchio del feudalesimo,Storia,Laterza,1980,B5,,,,si
Duby Georges,Le origini dell'economia europea,Storia,Laterza,1975,B5,,,,si
Duby Georges,"Il cavaliere, la donna, il prete",Storia,Laterza,1982,B5,,,,si
Eco Umberto (a cura),"Il Medioevo- castelli, mercanti,poeti",Storia,EM Publisher,2011,A5,,,,si
Eco Umberto (a cura),"Il Medioevo- cattedrali, cavalieri, città",Storia,EM Publisher,2011,A5,,,,si
Eco Umberto (a cura),"Il Medioevo- Barbari, cristiani Musulmani",Storia,EM Publisher,2010,A5,,,,si
Eco Umberto (a cura),"Il Medioevo- esplorazioni, commercio, utopie",Storia,EM Publisher,2011,A5,,,,si
Eco Umberto (a cura),Il Novecento ,Storia,EM Publisher,2016,B4,,,,si
Eco Umberto (a cura),L'antichità - Roma,Storia,EM Publisher,2012,B6,,,,si
Etienne Robert,La vita quotidiana a Pompei,Storia,Il Saggiatore,1973,B6,,,,si
Ferguson Niall,Impero,Storia,Mondadori,2007,A3,,,,si
Fischer A.H.L,Storia d'Europa I-II-III,Storia,Laterza,1969,B3,,,,si
Furet - Richet,La rivoluzione francese,Storia,Laterza,1974,A4,,,,si
Fusco Gian Carlo,Guerra d'Albania,Storia,Feltrinelli,1961,A2,,,,si
Gasparri Stefano,Italia longobarda,Storia,Laterza,2012,B5,,,,si
Gentile Emilio,E fu subito regime,Storia,Laterza,2012,B2,,,,si
Guerri Giordano Bruno,Il sangue del sud,Storia,Mondadori,2010,B4,,,,si
Hobsbawm Eric ,Intervista sul nuovo secolo,Storia,Laterza,1999,A3,,,,si
Huizinga Johan,L'autunno del Medioevo,Storia,Sansoni,1940?,A6,,,,si
Innamorati Serena,Per l'unità della resistenza,Storia,La pietra,1990,B1,,,,si
Kerr Walter,Il segreto di stalingrado,Storia,Mondadori,1978,A2,,,,si
King Bolton,Storia dell'unità d'Italia 1814-1871 (4 copie),Storia,Editori Riuniti,1960,A4,,,,si
Kogan Norman,L'italia del dopoguerra,Storia,Laterza,1968,A3,,,,si
Kovaliov S.I.,Storia di Roma I-II,Storia,Rinascita,1954,B6,,,,si
Le Goff Jacques,La civiltà dell'occidente medievale,Storia,Einaudi,1981,A5,,,,si
Le Goff Jacques,Il basso Medioevo,Storia,Feltrinelli,1967,A6,,,,si
Le Goff Jacques,L'uomo medievale,Storia,Laterza,1987,B5,,,,si
Lerner Gad,Crociate,Storia,Rizzoli,2000,A5,,,,si
Lettori Waldis,Dalla guerra alla libertà,Storia,Italgraf,2004,A1,,,,si
Libenzi Ermanno,Ragazzi della resistenza,Storia,Mursia,1964,B1,,,,si
Mack Smith Denis,Il risorgimento italiano,Storia,Laterza,1968,A4,,,,si
Mack Smith Denis,Storia d'italia 1861-1958 I-II,Storia,Laterza,1967,B3,,,,si
Majskij Ivan,Perché scoppiò la seconda guerra mondiale,Storia,Editori Riuniti,1965,A2,,,,si
Mammuccari-Miserotti,Le donne condannate al tribunale speciale,Storia,ANPPIA,?,B1,,,,si
Mango Cyril,La civiltà bizantina,Storia,Laterza,2014,B6,,,,si
Montanelli - Cervi,Italia del millennio,Storia,Rizoli,2000,B3,,,,si
Moscato Antonio,La madre di tutte le guerre,Storia,La.Co.Ri,2014,A3,,,,si
Musti Domenico,Storia greca,Storia,Laterza,2006,B6,,,,si
Oliva Gianni,Foibe,Storia,Mondadori,2002,A2,,,,si
Ottokar Nicola,Il comune di Firenze del duegento,Storia,Einaudi,1962,B5,,,,si
Perroy Eduard,Il medioevo,Storia,Sansoni,1959,B5,,,,si
Petacco - Ferrari,Caporetto  ,Storia,Mondadori,2017,A3,,,,si
Petacco Arrigo,Il regno del nord,Storia,Mondadori,2009,B4,,,,si
Petacco Arrigo,O Roma o morte,Storia,Mondadori,2010,B4,,,,si
Phillips Jonathan,Sacri guerrieri,Storia,Laterza,2011,A6,,,,si
Pintor Gaime,Il sangue d'Europa,Storia,Einaudi,1975,A1,,,,si
Preston Paul,La guerra civile spagnola,Storia,Mondadori,1999,A2,,,,si
Prosperi Adriano,Lutero,Storia,Mondadori,2017,B4,,,,si
Puglia Franca,Il giorno della Shoah,Storia,Comune di Fondi,2007,A2,,,,si
Recchioni Massimo,"Francesco Moranino, il comandante Gemisto",Storia,DeriveApprodi,2013,B1,,,,si
Rey Delquè Monique,Le crociate,Storia,Electa,1997,A5,,,,si
Ricci Raimondo,Verso il XIII congresso nazionale (2 copie),Storia,Ampi,2000,A1,,,,si
Righini Alberto,"Galileo. Tra scienza, fede e politica",Storia,Compositori,2008,B4,,,,si
Ritter Gherard,La fromazione dell'Europa moderna,Storia,Laterza,1968,B3,,,,si
Rivarola Manrico,"La saga del ""Cremona""",Storia,Nuova Fortezza,1992,B1,,,,si
Romano Sergio,Le italie parallele,Storia,Longanesi,1996,A3,,,,si
Romeo Rosario,Risorgimento e capitalismo,Storia,Laterza,1972,A4,,,,si
Rossi Andrea,Fascisti toscani nella repubblica di Salò 1943-1945,Storia,Serantini,2000,B1,,,,si
Runciman Steven,Storia delle crociate II,Storia,Einaudi,1993,A5,,,,si
Saint-Simon Louis,Il Re Sole,Storia,Garzanti,1977,B4,,,,si
Saitta Armando,La civiltà medievale,Storia,Laterza,1969,B3,,,,si
Saitta Armando,La civiltà moderna,Storia,Laterza,1969,B3,,,,si
Saitta Armando,La civiltà contemporanea,Storia,Laterza,1969,B3,,,,si
Salvatorelli Luigi,Storia del novecento I-II,Storia,Mondadori,1957,A3,,,,si
Salvatorelli Luigi,Sommario della storia d'Italia,Storia,Einaudi,1963,A4,,,,si
Salvatorelli Luigi,Pensiero e azione del risorgimento,Storia,Einaudi,1963,A4,,,,si
Salvemini Gaetano,Scritti sul fascismo I-II,Storia,Feltrinelli,1966,B2,,,,si
Scappini Remo,Da Empoli a Genova (1945),Storia,La Pietra,1981,A1,,,,si
Scarcia Amoretti Bianca.,Un altro medioevo,Storia,Laterza,2001,B5,,,,si
Secchia-Frassati,Storia della resistenza 1-2 (2 copie),Storia,Editori riuniti,1965,A1,,,,si
Segnini Carlo Alberto,"Onoranze a Galileo ""martire""",Storia,Opuscolo,2003,B4,,,,si
Serrao Feliciano,Classi partiti e legge nella repubblica romana,Storia,Pacini,1974,B6,,,,si
Seton-Watson Christ,Storia d'Italia dal 1870 al 1925,Storia,Laterza,1967,B3,,,,si
Slobodskoi S.M,storia del fascismo,Storia,Editori Riuniti,1962,B2,,,,si
Sobel Dava,Longitudine,Storia,Rizzoli,1999,B4,,,,si
Soboul Albert,La rivoluzione francese,Storia,Newton,1974,A4,,,,si
Sun Tzu,L'arte della guerra,Storia,Newton Compton,2008,B6,,,,si
Thomas Hugh,Storie della guerra civile spagnola,Storia,Einaudi,1964,A2,,,,si
Trevelyan G.M,Storia della società inglese,Storia,Einaudi,1981,B4,,,,si
Villari Lucio,Bella e perduta,Storia,Laterza,2009,B4,,,,si
Zumthor Paul,Semiologia e poetica medioevale,Storia,Feltrinelli,1972,B5,,,,si
Sully Prudhomme,Opere (Nobel 1901),Letteratura,Fabbri,1965,,,,,si
Mistral Frederic,Opere (Nobel 1904),Letteratura,Fabbri,1964,,,,,si
Hauptmann Gerhart,Opere (Nobel 1912),Letteratura,Fabbri,1965,,,,,si
von Heidenstam Verner,Opere (Nobel 1916),Letteratura,Fabbri,1965,,,,,si
Gjellerup Karl,Opere (Nobel 1917),Letteratura,Fabbri,1965,,,,,si
Yeats William B.,Opere (Nobel 1923),Letteratura,Fabbri,1966,,,,,si
Undset Sigrid,Opere (Nobel 1928),Letteratura,Fabbri ,1968,,,,,si
Lewis Sinclair,Opere (Nobel 1930),Letteratura,Fabbri,1966,,,,,si
Galsworthy John,Opere (Nobel 1932),Letteratura,Fabbri,1966,,,,,si
O'Neill Eugene,Opere (Nobel 1936),Letteratura,Fabbri,1967,,,,,si
Sillanpaa Frans Eemil,Opere (Nobel 1939),Letteratura,Fabbri,1967,,,,,si
Eliot Thomas S.,Opere (Nobel 1948),Letteratura,Fabbri,1963,,,,,si
Lagerkwist Par,Opere (Nobel 1951),Letteratura,Fabbri,1967,,,,,si
Mauriac Francois,Opere (Nobel 1952),Letteratura,Fabbri,1968,,,,,si
Laxness Halldor,Opere (Nobel 1955),Letteratura,Fabbri,1968,,,,,si
Camus Albert,Opere (Nobel 1957),Letteratura,Fabbri,1968,,,,,si
Saint-John Perse,Opere (Nobel 1960),Letteratura,Fabbri,1968,,,,,si
Andric Ivo,Opere (Nobel 1961),Letteratura,Fabbri,1968,,,,,si
Steinbeck John,Opere (Nobel 1962) ,Letteratura,Fabbri,1968,,,,,si
Seferis Giorgio,Opere (Nobel 1963),Letteratura,Fabbri,1969,,,,,si
Netter Frank,Atlante di anatomia fisiopatologia e clinica 6,Scienze,Novartis,1999,S,,,,si
Maeran Mancini,Glossario no problem,Scienze,McGraw Hill,2003,S,,,,si
von HagenVictor,Daewin e le isole incantate,Scienze,Rizzoli,1982,S,,,,si
AA. VV.,Geologia,Scienze,Giunti,2000,S,,,,si
AA. VV.,Zoologia,Scienze,Giunti,2003,S,,,,si
AA. VV.,Il corpo umano,Scienze,Giunti,2007,S,,,,si
Whitten Brooks,Dizionario di geologia,Scienze,Mondadori,1978,S,,,,si
Asimov Isaac,Le parole della scienza,Scienze,Mondadori,1976,S,,,,si
Della Beffa Giuseppe,Scienze naturali,Scienze,SEI,1944,S,,,,si
Bartezzaghi Stefano,Lezioni di enigmistica,Scienze,Einaudi,2001,S,,,,si
Lythgoe John e Gillian,Il libro completo dei pesci dei mari europei,Scienze,Mursia,1983,S,,,,si
Kaplan Helen,Nuove terapie sessuali,Scienze,Bompiani,1976,S,,,,si
Oliverio Alberto e Anna,L'alba del comportamento umano,Scienze,Laterza,1983,S,,,,si
Angela Piero,La macchina per pensare,Scienze,Garzanti,1983,S,,,,si
Francis Richard,L'ultimo mistero dell'ereditarietà,Scienze,Le Scienze,2011,S,,,,si
Gates Evelyn,Il telescopio di Einstein,Scienze,Le Scienze,2009,S,,,,si
Del Bello Paganini,Bravissimi,Scienze,Rusconi,1994,S,,,,si
Monod Jacques,Il caso e la necessità,Scienze,Mondadori,1974,S,,,,si
Meadows Rangers,I nuovi limiti dello sviluppo,Scienze,Mondadori,2006,S,,,,si
Krauss Lawtence,La fisica di Star Trek,Scienze,TEA,2009,S,,,,si
Livio Mauro,La sezione aurea,Scienze,Rizzoli,2003,S,,,,si
Rostand Jean,Piccola storia della biologia,Scienze,Einaudi,1949,S,,,,si
Veronesi Umberto,L'infinito della scienza,Scienze,Repubblica,2013,S,,,,si
AA. VV.,Dizionario delle scienze fisiche e matematiche,Scienze,Zanichelli,1959,S,,,,si
AA. VV.,Dizionario di biologia,Scienze,Zanichelli,1958,S,,,,si
Ferraro A.,Dizionario di metrologia generale,Scienze,Zanichelli,1958,S,,,,si
Sadoul Georges,Storia del cinema mondiale I-II,Scienze,Feltrinelli,1977,S,,,,si
